rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
115,frame_0188.jpg,75.2,0.5302,0.5643,0.8,0.04,10,8,False,False
116,frame_0300.jpg,120.0,0.5295,0.627,0.4,0.48,11,4,False,False
117,frame_0178.jpg,71.2,0.5281,0.6922,0.5,0.16,7,5,False,False
118,frame_0118.jpg,47.2,0.5275,0.519,0.6,0.44,8,6,False,False
119,frame_0275.jpg,110.0,0.5274,0.7948,0.3,0.2,9,3,False,False
120,frame_0232.jpg,92.8,0.5271,0.6142,0.6,0.2,9,6,False,False
121,frame_0014.jpg,5.6,0.5267,0.4734,0.3,1.0,6,3,False,False
122,frame_0268.jpg,107.2,0.5261,0.6601,0.6,0.08,7,6,False,False
123,frame_0396.jpg,158.4,0.5216,0.6791,0.5,0.16,10,5,False,False
124,frame_0285.jpg,114.0,0.5215,0.6231,0.3,0.6,6,3,False,False
125,frame_0398.jpg,159.2,0.5193,0.6426,0.5,0.24,11,5,False,False
126,frame_0130.jpg,52.0,0.5192,0.5505,0.2,0.92,6,2,False,False
127,frame_0090.jpg,36.0,0.5175,0.591,0.5,0.36,8,5,False,False
128,frame_0011.jpg,4.4,0.5173,0.5746,0.1,1.0,4,1,False,False
129,frame_0322.jpg,128.8,0.5169,0.6698,0.5,0.16,8,5,False,False
130,frame_0390.jpg,156.0,0.516,0.58,0.7,0.08,10,7,False,False
131,frame_0389.jpg,155.6,0.5136,0.6792,0.5,0.12,12,5,False,False
132,frame_0105.jpg,42.0,0.5135,0.755,0.4,0.08,8,4,False,False
133,frame_0194.jpg,77.6,0.5132,0.5544,0.6,0.28,7,6,False,False
134,frame_0186.jpg,74.4,0.5121,0.5882,0.7,0.04,12,7,False,False
135,frame_0305.jpg,122.0,0.512,0.612,0.5,0.28,6,5,False,False
136,frame_0078.jpg,31.2,0.5117,0.5074,0.3,0.84,8,3,False,False
137,frame_0374.jpg,149.6,0.5103,0.7006,0.4,0.2,10,4,False,False
138,frame_0208.jpg,83.2,0.5097,0.4753,0.4,0.76,4,4,False,False
139,frame_0216.jpg,86.4,0.5087,0.6615,0.3,0.44,4,3,False,False
140,frame_0026.jpg,10.4,0.5086,0.4372,0.3,1.0,5,3,False,False
141,frame_0315.jpg,126.0,0.5067,0.6654,0.5,0.12,8,5,False,False
142,frame_0295.jpg,118.0,0.5059,0.5597,0.3,0.68,7,3,False,False
143,frame_0009.jpg,3.6,0.5019,0.4837,0.2,1.0,4,2,False,False
144,frame_0032.jpg,12.8,0.5012,0.4825,0.2,1.0,7,2,False,False
145,frame_0176.jpg,70.4,0.5012,0.6064,0.5,0.24,9,5,False,False
146,frame_0279.jpg,111.6,0.5008,0.6176,0.4,0.36,6,4,False,False
147,frame_0323.jpg,129.2,0.4963,0.5845,0.6,0.12,9,6,False,False
148,frame_0096.jpg,38.4,0.4933,0.6386,0.5,0.12,8,5,False,False
149,frame_0019.jpg,7.6,0.4922,0.4644,0.2,1.0,3,2,False,False
150,frame_0209.jpg,83.6,0.4868,0.5656,0.2,0.72,4,2,False,False
151,frame_0080.jpg,32.0,0.4858,0.4276,0.4,0.76,7,4,False,False
152,frame_0282.jpg,112.8,0.4817,0.5314,0.4,0.48,8,4,False,False
153,frame_0211.jpg,84.4,0.4811,0.5262,0.3,0.64,4,3,False,False
154,frame_0095.jpg,38.0,0.4808,0.5976,0.5,0.16,8,5,False,False
155,frame_0119.jpg,47.6,0.4807,0.5294,0.4,0.48,8,4,False,False
156,frame_0108.jpg,43.2,0.4802,0.5844,0.6,0.04,10,6,False,False
157,frame_0206.jpg,82.4,0.4779,0.4719,0.3,0.76,5,3,False,False
158,frame_0391.jpg,156.4,0.4767,0.6373,0.5,0.04,11,5,False,False
159,frame_0307.jpg,122.8,0.4759,0.6319,0.4,0.2,9,4,False,False
160,frame_0213.jpg,85.2,0.4746,0.5452,0.3,0.56,4,3,False,False
161,frame_0012.jpg,4.8,0.4711,0.4221,0.2,1.0,4,2,False,False
162,frame_0097.jpg,38.8,0.4709,0.5498,0.6,0.08,9,6,False,False
163,frame_0308.jpg,123.2,0.4692,0.6345,0.4,0.16,8,4,False,False
164,frame_0399.jpg,159.6,0.4675,0.583,0.4,0.28,9,4,False,False
165,frame_0172.jpg,68.8,0.4672,0.4745,0.5,0.4,8,5,False,False
166,frame_0225.jpg,90.0,0.4671,0.6022,0.5,0.08,8,5,False,False
167,frame_0309.jpg,123.6,0.462,0.516,0.6,0.12,8,6,False,False
168,frame_0082.jpg,32.8,0.4612,0.4705,0.3,0.68,7,3,False,False
169,frame_0192.jpg,76.8,0.4604,0.6008,0.4,0.2,7,4,False,False
170,frame_0303.jpg,121.2,0.4604,0.5968,0.3,0.36,9,3,False,False
171,frame_0317.jpg,126.8,0.4603,0.6605,0.3,0.2,9,3,False,False
172,frame_0296.jpg,118.4,0.4594,0.4827,0.3,0.64,5,3,False,False
173,frame_0316.jpg,126.4,0.4577,0.6714,0.3,0.16,8,3,False,False
174,frame_0373.jpg,149.2,0.4567,0.6094,0.4,0.16,9,4,False,False
175,frame_0385.jpg,154.0,0.4567,0.5933,0.4,0.2,9,4,False,False
176,frame_0393.jpg,157.2,0.456,0.656,0.4,0.04,7,4,False,False
177,frame_0024.jpg,9.6,0.4521,0.4442,0.1,1.0,4,1,False,False
178,frame_0289.jpg,115.6,0.4504,0.5967,0.0,0.76,8,0,False,False
179,frame_0094.jpg,37.6,0.4502,0.5204,0.5,0.2,9,5,False,False
180,frame_0267.jpg,106.8,0.4452,0.5423,0.5,0.12,6,5,False,False
181,frame_0310.jpg,124.0,0.4438,0.5556,0.5,0.08,7,5,False,False
182,frame_0371.jpg,148.4,0.4438,0.5556,0.5,0.08,10,5,False,False
183,frame_0228.jpg,91.2,0.4415,0.5669,0.5,0.04,8,5,False,False
184,frame_0202.jpg,80.8,0.4405,0.4611,0.3,0.6,5,3,False,False
185,frame_0103.jpg,41.2,0.44,0.5761,0.4,0.16,7,4,False,False
186,frame_0183.jpg,73.2,0.4395,0.6829,0.3,0.04,7,3,False,False
187,frame_0084.jpg,33.6,0.4392,0.5184,0.2,0.6,4,2,False,False
188,frame_0219.jpg,87.6,0.4352,0.5024,0.4,0.32,5,4,False,False
189,frame_0394.jpg,157.6,0.433,0.594,0.4,0.08,9,4,False,False
190,frame_0195.jpg,78.0,0.4329,0.5577,0.3,0.32,3,3,False,False
191,frame_0093.jpg,37.2,0.4299,0.4037,0.6,0.24,7,6,False,False
192,frame_0092.jpg,36.8,0.4296,0.5072,0.4,0.28,7,4,False,False
193,frame_0173.jpg,69.2,0.4293,0.5347,0.3,0.36,7,3,False,False
194,frame_0203.jpg,81.2,0.4271,0.4181,0.3,0.64,6,3,False,False
195,frame_0185.jpg,74.0,0.427,0.522,0.5,0.08,10,5,False,False
196,frame_0025.jpg,10.0,0.4252,0.3903,0.1,1.0,4,1,False,False
197,frame_0102.jpg,40.8,0.4251,0.5022,0.5,0.12,7,5,False,False
198,frame_0281.jpg,112.4,0.425,0.554,0.2,0.44,6,2,False,False
199,frame_0100.jpg,40.0,0.4248,0.5936,0.4,0.04,8,4,False,False
200,frame_0101.jpg,40.4,0.4248,0.6376,0.3,0.08,6,3,False,False
201,frame_0112.jpg,44.8,0.4243,0.5285,0.4,0.2,6,4,False,False
202,frame_0218.jpg,87.2,0.4229,0.5218,0.3,0.36,5,3,False,False
203,frame_0233.jpg,93.2,0.4223,0.5686,0.3,0.24,10,3,False,False
204,frame_0325.jpg,130.0,0.4219,0.5877,0.4,0.04,8,4,False,False
205,frame_0171.jpg,68.4,0.4216,0.4271,0.4,0.44,7,4,False,False
206,frame_0121.jpg,48.4,0.4211,0.4381,0.3,0.56,5,3,False,False
207,frame_0122.jpg,48.8,0.4203,0.4805,0.2,0.6,5,2,False,False
208,frame_0382.jpg,152.8,0.4145,0.497,0.5,0.08,9,5,False,False
209,frame_0320.jpg,128.0,0.4129,0.6099,0.2,0.24,8,2,False,False
210,frame_0027.jpg,10.8,0.4121,0.3042,0.2,1.0,6,2,False,False
211,frame_0191.jpg,76.4,0.404,0.5039,0.4,0.16,8,4,False,False
212,frame_0314.jpg,125.6,0.4012,0.5305,0.4,0.08,7,4,False,False
213,frame_0022.jpg,8.8,0.4009,0.2817,0.2,1.0,6,2,False,False
214,frame_0221.jpg,88.4,0.399,0.4621,0.4,0.24,8,4,False,False
215,frame_0174.jpg,69.6,0.3976,0.5471,0.2,0.32,6,2,False,False
216,frame_0372.jpg,148.8,0.3929,0.4978,0.4,0.12,12,4,False,False
217,frame_0383.jpg,153.2,0.3926,0.4971,0.4,0.12,7,4,False,False
218,frame_0212.jpg,84.8,0.3912,0.3624,0.3,0.6,6,3,False,False
219,frame_0098.jpg,39.2,0.3901,0.5842,0.3,0.04,6,3,False,False
220,frame_0223.jpg,89.2,0.3871,0.5302,0.3,0.16,8,3,False,False
221,frame_0222.jpg,88.8,0.3857,0.4513,0.4,0.2,7,4,False,False
222,frame_0272.jpg,108.8,0.3842,0.5565,0.3,0.08,7,3,False,False
223,frame_0224.jpg,89.6,0.3838,0.6596,0.1,0.12,7,1,False,False
224,frame_0109.jpg,43.6,0.3833,0.4346,0.5,0.08,10,5,False,False
225,frame_0204.jpg,81.6,0.3813,0.3707,0.2,0.68,5,2,False,False
226,frame_0111.jpg,44.4,0.3806,0.5172,0.3,0.16,5,3,False,False
227,frame_0381.jpg,152.4,0.3793,0.5627,0.3,0.04,7,3,False,False
228,frame_0083.jpg,33.2,0.3788,0.3815,0.2,0.64,6,2,False,False
229,frame_0205.jpg,82.0,0.3783,0.3487,0.2,0.72,6,2,False,False
230,frame_0201.jpg,80.4,0.3738,0.3436,0.3,0.56,5,3,False,False
231,frame_0217.jpg,86.8,0.3735,0.4069,0.3,0.4,6,3,False,False
232,frame_0214.jpg,85.6,0.3727,0.4173,0.2,0.52,5,2,False,False
233,frame_0269.jpg,107.6,0.371,0.546,0.3,0.04,9,3,False,False
234,frame_0215.jpg,86.0,0.3708,0.4295,0.2,0.48,7,2,False,False
235,frame_0273.jpg,109.2,0.3696,0.5112,0.3,0.12,8,3,False,False
236,frame_0023.jpg,9.2,0.3684,0.2769,0.1,1.0,5,1,False,False
237,frame_0180.jpg,72.0,0.3652,0.5185,0.3,0.08,8,3,False,False
238,frame_0189.jpg,75.6,0.3624,0.5728,0.2,0.08,6,2,False,False
239,frame_0196.jpg,78.4,0.3618,0.4596,0.2,0.36,3,2,False,False
240,frame_0087.jpg,34.8,0.3612,0.4704,0.1,0.48,6,1,False,False
241,frame_0210.jpg,84.0,0.3548,0.4376,0.0,0.68,6,0,False,False
242,frame_0226.jpg,90.4,0.3516,0.5071,0.3,0.04,5,3,False,False
